ID,Product Name,Link,Product Image,Price,Details,Categories
1,BLOUSE WITH JABOT FRILLS AND PEARL BEAD BUTTONS,https://www.zara.com/in/en/blouse-with-jabot-frills-and-pearl-bead-buttons-p07969230.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7969/230/250/2/w/448/7969230250_1_1_1.jpg?ts=1692889132974': 'Image 0 of BLOUSE WITH JABOT FRILLS AND PEARL BEAD BUTTONS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7969/230/250/2/w/448/7969230250_2_1_1.jpg?ts=1692889132926': 'Image 1 of BLOUSE WITH JABOT FRILLS AND PEARL BEAD BUTTONS from Zara'}]","₹2,990.00",Collared blouse featuring long sleeves with slit cuffs. Jabot frills on the front. Button-up front hidden by a button placket and pearl bead appliqués on the collar and cuffs.,Shirt
2,OXFORD SHIRT,https://www.zara.com/in/en/oxford-shirt-p08372290.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8372/290/043/2/w/448/8372290043_1_1_1.jpg?ts=1691149126067': 'Image 0 of OXFORD SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8372/290/043/2/w/448/8372290043_2_1_1.jpg?ts=1691149127390': 'Image 1 of OXFORD SHIRT from Zara'}]","₹2,590.00","Shirt with a johnny collar, long sleeves and a button-up front.",Shirt
3,SEMI-SHEER RHINESTONE SHIRT,https://www.zara.com/in/en/semi-sheer-rhinestone-shirt-p07484162.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7484/162/712/2/w/448/7484162712_1_1_1.jpg?ts=1692879489420': 'Image 0 of SEMI-SHEER RHINESTONE SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7484/162/712/2/w/448/7484162712_2_1_1.jpg?ts=1692879489288': 'Image 1 of SEMI-SHEER RHINESTONE SHIRT from Zara'}]","₹3,290.00",Semi-sheer collared shirt with long cuffed sleeves and front fastening with rhinestone buttons.,Shirt
4,PRINTED TOP WITH GATHERED DETAIL,https://www.zara.com/in/en/printed-top-with-gathered-detail-p08562716.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8562/716/018/2/w/448/8562716018_1_1_1.jpg?ts=1692779345552': 'Image 0 of PRINTED TOP WITH GATHERED DETAIL from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8562/716/018/2/w/448/8562716018_2_1_1.jpg?ts=1692779344582': 'Image 1 of PRINTED TOP WITH GATHERED DETAIL from Zara'}]","₹2,990.00",Top with a surplice neck featuring long sleeves with cuffs and an elasticated hem.,Shirt
5,CONTRAST SHIRT,https://www.zara.com/in/en/contrast-shirt-p03564191.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3564/191/712/2/w/448/3564191712_6_1_1.jpg?ts=1692950069091': 'Image 0 of CONTRAST SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3564/191/712/2/w/448/3564191712_6_2_1.jpg?ts=1692950069045': 'Image 1 of CONTRAST SHIRT from Zara'}]","₹2,990.00",Collared shirt with long cuffed sleeves. Contrast fabric detail on the collar and cuffs. Front fastening with metal buttons.,Shirt
6,ASYMMETRIC TUNIC BLOUSE,https://www.zara.com/in/en/asymmetric-tunic-blouse-p09479277.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/9479/277/737/2/w/448/9479277737_1_1_1.jpg?ts=1688980756229': 'Image 0 of ASYMMETRIC TUNIC BLOUSE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9479/277/737/2/w/448/9479277737_2_1_1.jpg?ts=1688980756369': 'Image 1 of ASYMMETRIC TUNIC BLOUSE from Zara'}]","₹4,990.00","Blouse made of a viscose blend. Featuring a V-neckline, short sleeves and an adjustable drawstring waist in the same fabric.",Shirt
7,CROPPED LINEN BLEND SHIRT,https://www.zara.com/in/en/cropped-linen-blend-shirt-p02280716.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2280/716/250/18/w/448/2280716250_1_1_1.jpg?ts=1686905393458': 'Image 0 of CROPPED LINEN BLEND SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2280/716/250/18/w/448/2280716250_2_1_1.jpg?ts=1686905394574': 'Image 1 of CROPPED LINEN BLEND SHIRT from Zara'}]","₹2,290.00",Shirt made of a linen blend fabric. Johnny collar and turn-up short sleeves. Front patch pockets. Button-up front.,Shirt
8,POPLIN SHIRT WITH LACE TRIMS,https://www.zara.com/in/en/poplin-shirt-with-lace-trims-p07200232.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7200/232/712/17/w/448/7200232712_1_1_1.jpg?ts=1692286392819': 'Image 0 of POPLIN SHIRT WITH LACE TRIMS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7200/232/712/17/w/448/7200232712_2_1_1.jpg?ts=1692286391264': 'Image 1 of POPLIN SHIRT WITH LACE TRIMS from Zara'}]","₹3,290.00",Shirt with a high neck and long sleeves. Matching lace trim details. Button-up front.,Shirt
9,Z1975 DENIM OVERSHIRT WITH PATCH POCKETS,https://www.zara.com/in/en/z1975-denim-overshirt-with-patch-pockets-p06147165.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/6147/165/406/2/w/448/6147165406_1_1_1.jpg?ts=1685105199661': 'Image 0 of Z1975 DENIM OVERSHIRT WITH PATCH POCKETS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6147/165/406/2/w/448/6147165406_2_1_1.jpg?ts=1685105199442': 'Image 1 of Z1975 DENIM OVERSHIRT WITH PATCH POCKETS from Zara'}]","₹4,990.00",Collared overshirt with long sleeves. Front patch pockets. Side vents at the hem. Front metal button fastening.,Shirt
10,PADDED JACKET WITH POCKETS,https://www.zara.com/in/en/padded-jacket-with-pockets-p04088242.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/4088/242/800/2/w/448/4088242800_1_1_1.jpg?ts=1691658771413': 'Image 0 of PADDED JACKET WITH POCKETS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4088/242/800/2/w/448/4088242800_2_1_1.jpg?ts=1691658771801': 'Image 1 of PADDED JACKET WITH POCKETS from Zara'}]","₹7,590.00","Padded jacket with a high neck and long sleeves, Front patch pockets. Adjustable hem with matching drawstrings. Front zip fastening.",Jacket
